,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
50,Lethbridge,16.68,57.44,8.52,4.82,5.74,3.33,1.71,1.48,1.51,2.53,5.87,3.74,16.28,9.79,17.48,5.11,2.46,4.31,4.78,2.18,4.08,2.82,2.11,11.12,2.59,3.77,12.04,2.32,57.07,2.71,1.61,25.94,1.28,17783.89,17440.18,202.86,0.17,67.35,47.75,15.66,13.34,870.85,14897.11,44.71,25.74,83.0,131.55,791.18,699.46,1283.89,1139.12,2153.97,1994.42,2425.54,4.85,1,49.6942,-112.8328,Alberta,92729.0
51,Pickering,16.31,55.59,7.41,4.63,5.56,3.06,1.43,1.16,1.55,1.98,2.96,2.59,9.63,9.14,14.82,2.22,0.74,4.08,4.08,2.59,2.22,1.48,1.48,14.82,2.96,5.19,10.01,2.41,86.71,2.32,0.74,37.06,1.33,18528.74,18775.79,142.05,0.37,51.88,40.76,27.79,8.89,592.92,,48.17,27.18,60.96,86.47,1222.9,1167.31,,2001.1,,,,5.25,0,43.8354,-79.089,Ontario,91771.0
52,Nanaimo,14.27,64.85,9.63,5.56,5.93,3.07,1.76,1.57,2.28,2.41,2.49,3.7,11.86,12.46,16.39,4.18,1.34,3.81,4.14,2.82,2.91,2.53,1.67,13.34,3.09,3.52,13.34,2.13,48.17,2.65,1.78,44.47,1.57,20752.19,22308.61,158.03,0.46,75.45,30.88,17.6,11.86,790.56,8646.75,49.82,36.04,75.97,96.53,1168.55,1091.22,1951.69,1825.7,3547.18,3783.68,2791.66,6.51,1,49.1642,-123.9364,British Columbia,90504.0
53,Sudbury,14.82,59.29,8.89,3.89,5.56,2.78,1.91,1.44,2.08,2.04,2.48,2.49,5.48,9.75,12.85,2.09,1.63,3.98,3.98,1.7,2.78,1.9,1.39,11.12,2.3,4.08,11.3,2.59,59.29,3.45,1.67,35.58,1.52,20750.34,26825.92,144.66,0.56,69.94,51.02,25.94,8.89,815.26,8893.8,59.79,37.06,90.1,123.12,994.38,778.21,1686.12,1630.53,3869.17,2645.93,4632.19,7.38,1,46.49,-81.01,Ontario,88054.0
54,North Vancouver,18.53,74.11,8.89,5.19,6.67,3.52,1.69,1.7,1.74,2.83,2.96,3.7,18.53,8.03,16.34,3.63,1.81,3.65,2.32,2.22,2.24,2.34,1.89,14.08,2.55,3.52,11.49,2.22,97.83,2.96,1.61,24.67,1.71,18528.74,18899.32,84.31,,65.47,72.63,10.38,11.12,963.49,13651.98,52.62,38.17,76.89,100.06,1445.24,1259.95,3211.65,2544.61,9972.09,3487.52,4076.32,5.61,1,49.3641,-123.0066,British Columbia,85935.0
55,Chilliwack,13.34,59.29,8.89,4.17,5.19,3.18,1.34,0.82,1.46,2.14,1.96,2.99,10.8,8.55,11.35,3.37,1.48,3.02,6.23,1.9,2.68,1.56,1.73,11.12,1.43,2.96,11.86,1.48,32.61,2.52,1.43,25.54,1.58,21493.34,18860.41,99.56,0.19,63.53,31.87,4.69,10.37,922.73,7411.5,47.53,30.24,70.41,75.97,1074.67,1167.31,1852.87,2371.68,2792.18,,,6.83,0,49.1577,-121.9509,British Columbia,83788.0
56,Maple Ridge,14.82,59.29,8.15,4.17,5.0,3.06,1.36,1.41,1.91,2.22,4.82,3.09,12.23,7.91,11.12,4.94,1.73,3.55,3.15,2.46,2.22,1.7,2.22,14.82,2.34,1.82,11.12,2.15,81.53,2.93,1.25,28.16,1.28,21048.65,21147.47,103.84,0.26,100.06,30.57,29.65,11.12,864.67,,40.58,61.76,99.13,104.69,1259.95,1010.93,1889.93,1867.7,,,,5.62,0,49.2167,-122.6,British Columbia,82256.0
57,Peterborough,14.82,48.17,10.19,4.82,5.93,3.11,1.79,2.04,2.0,2.59,4.51,2.37,11.47,8.54,24.37,3.29,1.67,3.06,3.01,3.15,2.89,2.09,1.82,11.49,2.58,3.99,11.86,1.95,44.47,3.61,0.76,25.2,1.52,16516.52,16698.35,127.09,0.11,48.92,33.35,14.82,10.56,852.63,8893.8,38.91,30.88,65.31,90.79,1062.31,1035.14,1389.66,1463.77,,,1748.87,6.67,1,44.3,-78.3167,Ontario,82094.0
58,Prince George,15.56,59.29,7.41,4.35,5.56,3.26,1.95,1.68,2.08,2.27,3.31,3.57,7.8,8.95,17.22,4.05,1.05,3.61,2.59,3.95,3.27,2.71,2.59,14.08,2.96,2.96,13.25,1.85,44.47,2.63,1.48,28.9,1.54,22234.49,22852.12,109.07,0.33,61.52,42.86,17.29,9.08,741.15,,46.94,32.98,96.35,91.25,944.97,778.21,1676.85,1806.55,,1292.38,2779.31,4.36,1,53.9169,-122.7494,British Columbia,74003.0
59,Sault Ste. Marie,14.82,51.88,9.63,4.08,5.56,3.34,1.76,1.45,1.93,2.11,3.7,2.3,8.27,8.21,12.23,3.23,0.95,3.73,3.0,1.65,1.03,2.36,1.66,11.12,3.13,2.47,8.15,2.22,53.88,3.34,1.52,29.65,1.37,17417.02,15564.14,168.3,0.09,66.7,43.54,0.0,8.89,518.8,5188.05,47.25,30.57,71.89,97.09,926.44,833.79,1247.6,1420.54,1930.6,2536.9,2317.33,6.9,1,46.5333,-84.35,Ontario,73368.0
60,Sarnia,16.68,59.29,9.26,4.08,4.45,2.41,1.79,1.3,2.92,2.15,4.09,3.05,19.67,14.23,15.82,3.39,1.71,3.51,2.56,2.82,2.58,2.68,1.57,10.01,2.14,3.64,10.38,2.22,56.7,3.4,1.6,25.2,1.28,25032.33,20742.31,171.13,0.13,61.3,31.13,11.12,8.89,481.78,,49.9,29.65,80.34,94.57,845.65,814.34,1704.64,1741.7,2316.09,1876.04,1630.53,6.19,1,42.9994,-82.3089,Ontario,71594.0
61,Chateauguay,8.89,29.65,5.56,,,2.59,,,1.46,2.55,2.59,2.22,8.15,15.31,,2.44,1.26,4.44,4.82,1.67,3.7,1.9,1.62,8.81,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,0,45.38,-73.75,Quebec,70812.0
62,St. Albert,18.53,66.7,8.15,4.17,5.93,3.06,1.36,1.41,1.92,2.22,3.05,3.09,10.75,11.14,13.37,3.79,1.39,3.39,3.15,2.01,1.76,1.7,1.68,11.86,2.05,1.82,11.12,2.37,68.93,2.93,1.22,22.23,1.26,21122.77,19516.94,161.14,0.26,59.09,39.84,,11.12,785.62,59421.68,40.58,35.82,78.77,99.23,907.91,778.21,1111.72,963.49,,,3458.7,5.1,0,53.6303,-113.6258,Alberta,65589.0
63,Granby,11.86,44.47,7.41,3.34,5.19,2.96,1.55,1.12,1.54,2.43,3.28,2.5,11.9,8.89,7.41,2.87,1.36,2.73,3.4,1.73,1.57,1.6,0.95,11.12,1.48,2.22,10.38,2.59,,2.59,1.3,28.9,1.44,18528.74,14822.99,96.59,0.15,44.47,28.53,,6.3,662.54,6333.84,53.94,32.7,76.43,101.91,455.81,444.69,713.36,667.03,,,1852.87,2.0,0,45.4,-72.7333,Quebec,63433.0
64,St. Thomas,,,,,,,,,3.07,2.59,2.22,2.69,12.24,5.56,11.44,5.93,1.68,3.71,4.23,4.67,3.8,2.96,1.66,16.68,2.12,1.85,9.63,,,,,37.06,1.51,,,,,148.23,,,,,,,,,,,,,,,,,2.2,0,42.775,-81.1833,Ontario,61707.0
65,Fredericton,18.53,59.29,8.89,4.45,5.93,3.36,1.64,1.37,2.1,2.47,5.37,2.74,14.54,11.73,13.14,4.85,1.41,3.53,4.24,2.0,2.32,2.28,1.42,11.12,2.94,3.22,12.23,2.04,59.29,4.45,1.56,25.2,1.37,22234.49,21863.73,125.48,0.06,74.95,46.57,17.79,10.65,541.04,22234.49,59.2,28.41,87.88,123.52,861.38,801.68,1313.69,993.14,,,3242.84,6.55,1,45.9636,-66.6431,New Brunswick,58220.0
66,Welland,14.08,63.0,7.41,5.0,5.37,3.15,1.39,1.35,1.79,1.98,3.36,2.58,11.98,8.17,12.59,2.98,1.19,2.56,2.94,1.78,2.22,2.14,2.03,11.12,2.36,2.32,10.75,2.41,63.0,2.59,1.78,18.75,1.46,21485.93,17118.71,127.46,0.23,61.43,24.95,11.12,9.63,592.92,,43.91,26.4,77.41,87.09,1037.61,1000.55,1729.35,1482.3,,,2408.74,6.25,0,42.9833,-79.2333,Ontario,52293.0
67,Belleville,11.12,37.06,8.89,4.45,5.93,2.94,1.52,1.41,2.4,2.13,2.96,2.51,12.6,9.42,6.52,3.15,1.48,2.59,1.48,2.22,0.74,0.74,0.74,10.01,2.22,3.55,11.12,2.22,48.17,2.85,2.63,25.2,1.41,18158.17,20999.24,161.96,0.22,56.77,40.76,22.23,9.26,1111.72,17787.59,48.17,29.65,83.53,91.41,926.44,778.21,2001.1,1704.64,,,2554.99,4.31,0,44.1667,-77.3833,Ontario,50716.0
