,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
0,Toronto,18.53,85.23,9.63,5.19,6.36,3.59,1.95,1.53,2.52,2.54,2.93,2.96,11.48,11.92,13.14,3.2,1.26,3.19,3.36,2.81,2.47,2.3,1.67,11.86,2.34,2.78,12.78,2.41,115.62,3.31,1.3,22.98,1.44,20752.19,19623.25,127.96,0.33,54.91,46.66,17.4,11.12,1159.76,19673.2,60.67,37.89,91.66,102.73,1728.5,1426.71,2733.4,2302.11,9834.67,7249.17,3249.79,5.24,1,43.7417,-79.3733,Ontario,5429524.0
1,Montreal,14.82,66.7,9.63,5.93,5.93,3.57,1.76,1.37,2.17,2.81,2.9,2.87,11.4,11.07,12.68,3.17,1.49,3.11,3.47,1.84,1.96,2.08,1.68,11.86,2.4,2.69,11.12,2.59,69.67,2.96,1.3,30.57,1.47,22234.49,19365.84,80.09,0.37,47.56,29.68,14.02,11.12,667.5,8449.11,62.79,35.84,92.97,111.49,1045.58,800.16,1846.59,1342.69,6069.66,3487.84,2823.94,5.41,1,45.5089,-73.5617,Quebec,3519595.0
2,Vancouver,18.16,83.38,8.89,5.19,6.67,3.8,1.94,1.77,2.19,2.61,3.44,3.58,12.69,11.52,14.7,3.15,1.43,3.44,3.49,2.69,1.99,2.28,1.92,14.82,2.49,2.95,14.08,2.3,95.24,2.78,1.43,26.9,1.58,22234.49,19160.9,91.93,0.26,62.95,46.24,11.3,12.6,1059.84,20793.42,58.69,37.87,87.35,114.61,1799.96,1502.8,3373.09,2341.43,9983.22,7902.75,3474.89,4.46,1,49.25,-123.1,British Columbia,2264823.0
3,Calgary,18.53,63.0,8.89,5.19,5.93,3.75,1.75,1.53,1.73,2.18,2.57,2.9,10.88,10.51,13.87,3.85,1.46,3.51,3.78,2.21,2.62,2.42,1.63,11.12,2.55,2.86,11.86,2.67,83.01,2.96,1.43,25.94,1.26,20752.19,19799.73,189.53,0.2,64.35,58.99,20.16,11.29,813.41,11879.57,54.07,44.06,75.78,101.91,1121.71,903.12,1976.24,1504.96,3328.49,2651.05,3807.94,4.58,1,51.05,-114.0667,Alberta,1239220.0
4,Edmonton,18.53,66.7,8.89,5.19,5.93,3.79,1.82,1.73,1.97,2.22,3.05,2.69,10.75,11.14,13.37,3.79,1.39,3.39,3.67,2.01,1.76,2.4,1.68,11.12,2.05,2.68,12.6,2.59,74.11,2.74,1.22,22.23,1.26,22234.49,18299.17,189.4,0.26,59.09,46.98,14.64,11.12,711.5,59421.68,53.23,30.63,78.77,99.23,906.92,745.74,1535.36,1153.16,2200.36,1841.51,3403.02,4.82,1,53.5344,-113.4903,Alberta,1062643.0
5,Ottawa,18.53,63.0,8.89,5.19,6.67,3.68,1.96,1.46,1.85,2.18,3.03,2.91,11.17,11.6,12.1,3.48,1.21,2.93,3.36,1.66,1.8,1.97,1.51,11.12,2.29,2.22,11.12,2.74,91.72,2.96,1.38,17.79,1.43,21122.77,19163.27,119.98,0.21,59.52,52.35,23.82,11.12,971.73,14267.13,53.31,36.26,78.89,106.68,1271.64,1000.55,2040.48,1612.0,4884.05,3616.54,3319.71,5.33,1,45.4247,-75.695,Ontario,989567.0
6,Winnipeg,14.82,55.59,8.22,4.45,5.19,3.38,1.76,1.52,1.34,1.94,2.95,2.78,9.22,10.68,13.14,3.62,1.38,3.53,3.76,2.56,2.35,2.26,1.59,11.12,2.64,3.25,13.71,2.3,77.08,2.78,1.19,23.2,1.4,20011.04,19189.0,145.32,0.28,60.69,33.21,21.68,10.38,526.77,12398.94,44.07,30.8,72.67,94.92,817.87,843.69,1349.06,1295.92,3038.71,2649.61,2145.63,4.5,1,49.8844,-97.1464,Manitoba,705244.0
7,Quebec City,14.88,59.29,9.63,5.19,5.19,3.48,1.55,1.12,1.54,2.43,3.28,2.65,11.9,8.89,13.75,2.87,1.36,2.73,3.4,2.43,1.57,1.7,0.95,11.12,1.54,2.54,10.38,2.59,65.96,2.59,1.3,28.9,1.44,18528.74,16075.54,96.59,0.33,50.98,36.48,28.16,10.38,662.54,6333.84,53.94,32.7,76.43,101.91,721.93,588.1,1242.85,929.81,7736.1,1752.82,3012.07,5.06,1,46.8139,-71.2081,Quebec,705103.0
8,Kitchener,14.82,72.63,8.89,3.71,4.26,2.47,1.22,1.4,1.77,2.34,2.68,2.91,11.51,10.7,15.56,2.91,1.1,3.75,3.93,1.48,1.77,1.85,1.47,11.12,2.35,3.65,11.12,2.66,66.7,2.59,1.56,25.94,1.41,18667.34,18975.55,152.05,0.19,57.06,31.31,16.68,11.12,815.26,,44.62,34.28,66.6,94.29,1289.29,1159.47,1780.81,1650.29,5966.09,5661.11,3369.02,6.3,1,43.4186,-80.4728,Ontario,470015.0
9,Halifax,14.82,66.7,8.89,5.19,5.19,3.53,1.78,1.7,1.8,2.26,4.3,3.41,9.39,11.43,11.47,3.82,1.66,3.73,3.9,2.62,2.52,2.6,1.43,14.82,2.8,3.28,14.08,2.04,61.14,2.78,1.3,22.23,1.42,22234.49,20121.54,140.5,0.16,75.81,44.31,16.8,11.12,651.59,12784.83,66.02,36.41,88.89,102.9,1217.45,973.06,1919.75,1504.86,3764.62,2099.92,3072.15,4.63,1,44.6475,-63.5906,Nova Scotia,403131.0
10,Victoria,18.53,66.7,8.89,5.93,5.93,3.73,1.98,1.77,2.49,2.68,3.52,3.61,12.2,12.78,13.45,3.65,1.27,3.88,4.78,2.67,2.47,2.52,1.88,14.08,2.51,2.73,12.6,1.85,63.0,2.72,1.89,30.88,1.59,23716.79,19371.8,97.44,0.18,70.19,50.79,11.63,11.08,914.08,12955.3,60.16,31.54,80.26,106.05,1488.87,1206.06,2519.91,2060.06,7659.7,5498.61,3521.25,4.36,1,48.4283,-123.3647,British Columbia,335696.0
11,Mississauga,11.12,59.29,8.89,4.82,5.19,3.38,1.41,1.15,1.79,2.13,2.16,2.99,9.73,9.19,11.13,2.96,1.04,2.55,3.14,2.58,2.15,2.08,1.11,10.86,1.96,2.22,11.12,2.78,107.1,3.15,1.85,25.94,1.39,19739.78,18733.3,125.29,0.68,55.32,42.15,25.2,9.91,1171.02,26681.39,48.1,39.84,94.62,103.35,1570.31,1386.53,2391.63,2072.37,7214.73,5614.65,3413.29,4.72,1,43.6,-79.65,Ontario,721599.0
12,Hamilton,14.08,61.14,8.89,5.19,5.56,3.43,1.86,1.28,1.62,2.48,4.13,2.98,13.96,12.79,13.54,4.29,1.49,3.52,3.74,1.68,2.33,1.96,2.11,11.12,1.91,2.62,10.67,2.41,81.53,3.26,1.33,25.73,1.42,20826.31,19615.76,155.17,0.21,61.41,41.03,19.76,13.34,839.97,11117.25,51.65,41.23,76.8,90.58,1193.25,1078.0,1897.34,1835.77,4295.76,4265.05,2816.37,4.62,1,43.2567,-79.8692,Ontario,693645.0
13,Brampton,11.12,66.7,7.41,5.0,5.19,2.61,1.66,0.98,1.66,1.92,1.76,2.24,14.82,8.47,13.06,3.12,1.44,3.42,2.98,1.76,1.3,1.82,1.31,11.12,1.85,1.85,12.01,2.96,88.94,3.71,1.48,18.53,1.48,19269.89,18565.8,238.29,0.3,57.39,30.28,19.15,11.12,885.26,12599.55,39.36,31.45,63.28,59.7,1425.48,1135.45,1837.27,1662.05,6307.5,4844.93,3489.58,4.89,1,43.6833,-79.7667,Ontario,593638.0
14,Surrey,13.34,59.29,7.41,5.1,5.56,3.9,1.63,1.35,1.74,1.98,3.64,2.95,11.36,12.2,11.22,2.77,1.16,2.27,2.57,1.49,2.54,2.01,2.19,13.33,2.12,3.8,13.34,2.43,88.94,2.48,1.46,26.26,1.56,18528.74,17682.6,168.08,0.27,67.17,31.76,24.09,11.49,907.91,2594.02,43.94,35.11,80.74,105.0,1255.84,1020.77,2390.21,1741.7,9041.36,5584.37,3800.35,5.32,1,49.19,-122.8489,British Columbia,517887.0
15,Laval,13.63,51.88,11.12,2.22,4.45,3.34,1.67,1.02,1.72,2.12,2.2,2.34,11.27,10.26,11.83,2.66,1.45,2.26,3.03,1.84,2.08,2.13,1.75,12.41,2.96,2.41,9.63,2.59,67.07,2.89,2.22,25.2,1.44,17042.74,14415.36,79.52,0.21,44.84,18.23,17.79,9.45,218.64,4570.42,45.7,33.35,87.09,76.71,852.32,629.98,1000.55,1259.95,4817.47,4359.44,2734.02,5.27,1,45.5833,-73.75,Quebec,422993.0
16,London,16.68,74.11,9.63,4.45,4.45,3.4,1.85,1.4,1.7,2.21,2.73,2.69,10.85,7.99,12.81,3.28,1.12,3.01,4.0,1.78,1.8,1.97,1.36,11.12,2.39,2.96,10.67,2.22,70.41,2.87,1.48,18.53,1.39,22234.49,18462.91,129.73,0.25,59.7,29.12,26.68,11.11,963.49,17726.87,68.6,37.39,79.77,90.61,1348.08,1067.55,2559.89,1581.36,7101.66,3464.88,3446.3,4.53,1,42.9836,-81.2497,Ontario,383822.0
17,Markham,20.49,88.94,8.89,4.08,4.63,3.01,2.16,1.69,2.66,1.85,1.84,2.59,10.33,10.87,15.07,2.84,1.15,2.65,3.58,1.86,1.81,2.0,1.41,13.34,2.56,2.48,11.12,2.89,113.4,3.15,1.63,19.27,1.43,18528.74,18207.58,122.27,0.43,43.78,43.41,11.12,10.75,704.09,17305.85,52.41,37.06,88.01,107.37,1500.83,1315.54,2421.09,2223.45,11168.74,9573.2,3186.84,6.0,1,43.8767,-79.2633,Ontario,328966.0
18,St. Catharines,16.68,55.59,8.15,5.0,4.08,2.9,1.07,1.01,1.79,1.87,3.76,2.41,9.38,8.17,12.59,2.89,1.19,2.56,2.94,1.78,2.22,2.14,1.39,10.38,1.04,2.63,10.75,2.22,68.19,2.96,2.96,18.75,1.46,27422.54,19566.35,146.61,0.23,61.43,26.87,19.76,8.89,592.92,,35.58,26.4,65.47,82.27,1160.93,1005.55,1593.47,1480.17,3316.8,4452.18,4508.66,6.25,1,43.1833,-79.2333,Ontario,309319.0
19,Vaughan,14.82,74.11,10.01,4.45,5.93,3.46,1.81,1.57,2.4,2.13,3.21,2.51,12.6,13.66,6.52,3.15,1.68,3.07,3.11,2.27,2.39,1.65,1.95,13.71,2.22,3.55,11.12,2.88,115.62,2.85,1.67,22.23,1.41,18158.17,20999.24,161.96,0.22,56.77,34.28,29.65,9.63,1111.72,17787.59,54.42,40.76,83.53,114.75,1704.64,1445.24,2964.6,2223.45,5188.05,3705.75,3335.17,4.88,1,43.8333,-79.5,Ontario,306233.0
20,Gatineau,22.23,44.47,8.52,5.19,6.41,2.81,1.53,1.34,1.78,2.43,3.87,2.57,8.17,6.4,8.42,3.28,1.25,2.64,5.36,1.6,2.08,1.45,1.18,8.89,3.42,,8.96,2.96,74.11,3.06,1.3,22.23,1.4,19481.12,15010.75,88.18,0.37,47.25,42.06,14.82,8.89,449.63,8893.8,40.23,27.0,75.35,85.97,929.22,768.94,1245.13,1119.14,3705.75,2433.19,2352.22,4.41,1,45.4833,-75.65,Quebec,276245.0
21,Windsor,14.82,59.29,8.89,4.26,5.0,3.54,1.56,1.29,1.44,1.68,2.06,2.55,10.68,8.36,8.88,3.23,1.04,3.65,2.37,1.69,1.72,2.11,1.71,14.08,2.22,2.87,10.48,2.41,96.67,2.85,1.84,25.2,1.31,20381.62,19869.48,149.29,0.21,60.39,39.07,18.03,9.63,382.93,2739.29,50.3,34.55,80.54,85.23,1017.02,1001.95,1626.41,1519.36,4651.1,1994.42,2979.01,6.76,1,42.2833,-83.0,Ontario,276165.0
22,Saskatoon,14.82,55.59,8.89,5.19,6.3,3.29,2.16,1.65,1.84,1.91,3.05,3.19,10.28,10.9,10.93,3.15,1.44,3.11,2.88,1.91,1.74,2.49,1.98,11.12,2.98,3.52,12.97,2.22,61.52,2.96,1.45,22.23,1.35,20752.19,20322.33,210.42,0.25,54.66,38.31,13.34,11.86,567.6,7893.24,48.17,41.92,83.17,109.32,889.38,708.88,1357.23,1257.31,2393.3,3191.07,3239.88,4.66,1,52.1333,-106.6833,Saskatchewan,246376.0
23,Burnaby,12.6,59.29,8.89,4.45,5.93,3.18,1.67,1.17,1.46,2.14,1.96,2.64,10.8,8.55,12.11,3.45,1.51,3.02,4.57,3.25,3.79,1.56,1.08,11.12,2.5,2.78,11.12,2.32,99.31,2.59,1.43,25.54,1.68,21493.34,16851.89,99.56,0.19,63.53,29.65,14.82,11.12,922.73,8671.45,47.53,34.28,77.61,75.97,1556.41,1452.65,3302.81,2198.74,6781.02,6781.02,3460.62,7.4,1,49.2667,-122.9667,British Columbia,232755.0
24,Regina,12.23,59.29,9.63,5.19,5.93,3.2,2.17,1.67,1.5,1.89,2.11,2.97,9.4,10.97,11.88,3.06,1.18,3.66,2.51,2.4,2.2,2.13,1.24,12.23,2.18,1.85,13.19,2.41,65.22,3.34,2.15,22.23,1.41,22234.49,22582.83,175.71,0.09,60.21,37.24,12.04,10.01,592.92,,52.81,30.39,73.19,91.72,710.27,694.83,1289.6,1082.08,1994.42,1934.58,3722.32,5.22,1,50.4547,-104.6067,Saskatchewan,215106.0
25,Richmond,14.82,59.29,8.89,5.56,5.93,4.32,1.98,1.45,2.05,2.38,3.56,3.3,14.29,9.36,18.7,3.54,1.26,3.7,5.48,3.63,4.61,2.03,1.36,13.34,1.85,2.59,,2.33,74.3,,,8.89,1.64,18158.17,24210.89,148.54,0.48,53.12,36.87,9.88,11.12,1037.61,6999.75,32.12,39.03,71.64,97.24,1411.89,1507.0,3816.92,2594.02,9573.2,7778.23,3740.95,5.6,1,49.1667,-123.1333,British Columbia,198309.0
26,Oakville,15.56,63.0,10.38,5.19,8.52,3.27,1.95,2.06,1.87,2.32,2.08,3.34,10.57,10.74,9.09,3.87,1.85,4.52,4.73,2.54,1.92,2.39,2.68,11.12,2.44,2.57,11.12,2.96,107.1,3.24,1.86,22.23,1.37,19823.9,19060.25,152.66,0.33,58.27,40.44,14.03,11.12,1457.59,17046.44,45.28,62.75,82.6,139.55,1457.59,1358.77,2519.91,2421.09,,6190.67,3554.34,6.66,1,43.45,-79.6833,Ontario,193832.0
27,Burlington,16.68,66.7,8.64,5.19,5.93,3.08,1.67,1.5,2.08,2.27,2.28,2.77,15.53,8.32,14.94,3.06,1.28,3.51,5.56,1.22,1.65,1.9,2.59,11.86,2.14,3.26,12.6,2.59,51.14,2.59,2.37,22.23,1.47,21493.34,20208.68,105.24,0.17,54.57,33.72,12.97,11.48,1173.24,16675.87,44.96,33.35,84.61,119.14,1545.83,1346.42,2371.68,2056.69,7429.2,7166.61,4435.78,6.21,1,43.3167,-79.8,Ontario,183314.0
28,Barrie,14.82,59.29,9.63,4.82,5.37,3.33,1.95,1.69,1.96,2.22,2.43,3.2,8.28,12.63,18.39,3.78,1.93,2.99,4.75,3.08,3.86,2.71,0.56,11.12,1.8,2.47,11.86,2.41,77.08,2.41,1.85,22.23,1.39,18528.74,22492.41,182.1,0.44,66.15,36.13,18.53,9.63,963.49,,51.88,36.73,69.17,102.28,1375.76,1232.16,1964.05,1951.69,11966.5,9573.2,3335.17,6.94,1,44.3711,-79.6769,Ontario,172657.0
