"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Victoria","2021A00051001365","Population, 2021","","0","units","0","","93.1","1658","","","","0"
"2021","Wabana","2021A00051001494","Population, 2021","","0","units","0","","94.1","1815","","","","0"
"2021","Whitbourne","2021A00051001298","Population, 2021","","0","units","0","","95.1","955","","","","0"
"2021","Whiteway","2021A00051001308","Population, 2021","","0","units","0","","96.1","351","","","","0"
"2021","Winterton","2021A00051001332","Population, 2021","","0","units","0","","97.1","436","","","","0"
"2021","Witless Bay","2021A00051001559","Population, 2021","","0","units","0","","98.1","1640","","","","0"
"2021","Baine Harbour","2021A00051002040","Population, 2021","","0","units","0","","100.1","126","","","","0"
"2021","Bay L'Argent","2021A00051002027","Population, 2021","","0","units","0","","101.1","234","","","","0"
"2021","Burin","2021A00051002005","Population, 2021","","0","units","0","","102.1","2237","","","","0"
"2021","Division No.  2, Subd. C","2021A00051002031","Population, 2021","","0","units","0","","103.1","538","","","","0"
"2021","Division No.  2, Subd. D","2021A00051002022","Population, 2021","","0","units","0","","104.1","204","","","","0"
"2021","Division No.  2, Subd. E","2021A00051002001","Population, 2021","","0","units","0","","105.1","251","","","","0"
"2021","Division No.  2, Subd. F","2021A00051002006","Population, 2021","","0","units","0","","106.1","99","","","","0"
"2021","Division No.  2, Subd. G","2021A00051002009","Population, 2021","","0","units","0","","107.1","25","","","","0"
"2021","Division No.  2, Subd. H","2021A00051002016","Population, 2021","","0","units","0","","108.1","196","","","","0"
"2021","Division No.  2, Subd. I","2021A00051002026","Population, 2021","","0","units","0","","109.1","123","","","","0"
"2021","Division No.  2, Subd. J","2021A00051002029","Population, 2021","","0","units","0","","110.1","0","","","","0"
"2021","Division No.  2, Subd. K","2021A00051002048","Population, 2021","","0","units","0","","111.1","502","","","","0"
"2021","Division No.  2, Subd. L","2021A00051002044","Population, 2021","","0","units","0","","112.1","32","","","","0"
"2021","English Harbour East","2021A00051002039","Population, 2021","","0","units","0","","113.1","117","","","","0"
"2021","Fortune","2021A00051002018","Population, 2021","","0","units","0","","114.1","1285","","","","0"
"2021","Fox Cove-Mortier","2021A00051002025","Population, 2021","","0","units","0","","115.1","252","","","","0"
"2021","Frenchman's Cove","2021A00051002017","Population, 2021","","0","units","0","","116.1","159","","","","0"
"2021","Garnish","2021A00051002021","Population, 2021","","0","units","0","","117.1","542","","","","0"
